commit	val_sharpe	sortino	sharpe_ann_4h	calmar	psr	dsr	skew	kurtosis	max_drawdown	win_rate	total_trades	train_sharpe	train_calmar	train_max_drawdown	train_total_trades	val_sub_min	val_sub_std	val_sub_neg_count	status	discard_reason	timestamp	description
479dc0f	0.123577	0.193569	0.271027	0.203906	0.604907	0.604907	0.399	12.642	17.44	0.400	5	0.573298	5.036081	17.54	10	-0.065197	0.080572	2	discard	min_trades	2026-06-04 19:18	Add ATR trailing stop (2x ATR below highest close since entry) alongside the existing 2R take-profit exit to lock in gains and reduce drawdown during trend reversals.
221fb40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	-1.014756	-0.840545	73.21	6	0.000000	0.000000	0	discard	drawdown	2026-06-04 19:19	Lower ADX threshold from 25→20 to widen entry set and increase trade count.
2efc870	0.264968	0.421622	0.503453	0.473532	0.687994	0.687994	-0.349	13.658	23.86	0.400	5	0.449268	2.595047	29.42	22	-0.065197	0.060788	1	discard	min_trades	2026-06-04 19:19	Remove ADX filter and replace fixed take-profit exit with ATR trailing stop to boost trade frequency while managing risk.
29285e4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	0.000000	0.000000	0.00	0	0.000000	0.000000	0	crash	crash	2026-06-04 19:20	Replace EMA crossover entry with Donchian breakout (20-day high) to increase trade frequency and satisfy min_trades gate.
edbc5e2	-0.537179	0.938472	0.352831	1.633319	0.524519	0.514191	0.256	15.025	22.97	0.357	31	0.538858	1.833921	37.86	68	-0.189543	0.108641	8	discard	drawdown	2026-06-04 19:21	Replace entry with fast EMA (5/20) crossover and exit with 1x ATR trailing stop to boost trade count from 0 to >20.
75d9c9c	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	-0.188534	-0.312899	57.95	5	0.000000	0.000000	0	discard	drawdown	2026-06-04 19:22	Faster EMA crossover (10/30) to boost trade count toward the min_trades gate while retaining ADX quality filter and 2R take-profit exit.
a5c8093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	0.000000	0.000000	0.00	0	0.000000	0.000000	0	crash	crash	2026-06-04 19:23	Replace EMA crossover entry with Donchian(5) breakout and ATR trailing stop (1x ATR) to increase trade count and satisfy min_trades gate.
30bb387	-0.250826	0.066387	0.133379	0.084965	0.543359	0.524180	-0.086	11.775	26.48	0.500	16	0.664154	3.680369	35.85	30	-0.168234	0.113732	6	discard	drawdown	2026-06-04 19:23	Replace failing Donchian(5) breakout with EMA(10/30) crossover to boost trade count above 20, use 2×ATR trailing stop to limit drawdown, remove ADX filter to widen entry set.
8218a2c	0.645448	1.981828	1.445895	2.903397	0.891464	0.875756	0.121	7.457	43.56	0.933	19	-0.151872	1.182699	74.32	45	-0.189686	0.103771	2	discard	drawdown	2026-06-04 19:24	Replace EMA crossover entry with Bollinger band breakout (20,2) + ADX>20 trend filter to boost trade count and improve val_sharpe over prior 0-trade runs.
fca8bf0	-0.862133	0.620763	0.182908	1.095803	0.611532	0.566649	-0.299	12.579	31.04	0.337	27	0.416451	10.661917	27.68	60	-0.167884	0.090129	8	discard	drawdown	2026-06-04 19:25	Switch to Bollinger upper breakout (20,2) entry with ADX>15 trend filter, exit via trailing stop 1.5×ATR below highest high (long) to boost trade count above 20 while capping drawdown.
