commit	val_sharpe	sortino	sharpe_ann_4h	calmar	psr	dsr	skew	kurtosis	max_drawdown	win_rate	total_trades	status	description
7d5c31f	0.000000								0.00	0.000	0	crash	Add RSI(14) filter to confirm entries on EMA crossup; only buy when RSI < 70 to avoid overbought; exit remains EMA crossdown.
f2113bb	1.077936								23.83	0.409	44	keep	Simplify to pure EMA crossover without RSI filter; previous RSI experiment crashed (0 trades), likely due to overly restrictive overbought threshold blocking valid entries. Return to baseline and test
2cce4ef	1.046341								24.42	0.386	44	discard	Add ATR-based trailing stop to lock in gains and reduce drawdown; keep EMA crossover entries/exits but exit early if price drops below (entry_price - 2×ATR).
f5d16d3	0.748997								18.89	0.435	23	discard	Add volume confirmation to EMA crossup entries: only buy when fast EMA crosses above slow EMA AND volume is above 20-period SMA, reducing false signals in low-volume moves.
f97300f	1.273990								18.05	0.467	30	keep	Add ADX(14) trend filter: only enter long on EMA crossup if ADX > 25 (strong trend); exit remains EMA crossdown. This avoids choppy-market entries that plagued the RSI experiment while respecting conf
ca0a0f9	0.000000								0.00	0.000	0	crash	Replace EMA crossdown exit with ATR-based trailing stop to reduce whipsaws while keeping ADX-filtered EMA entries; lock profits on strong trends.
ba9ec01	0.945940								7.62	0.500	30	discard	Add RSI(14) divergence confirmation to exits: hold position through EMA crossdown if RSI still rising, exit only when RSI peaks (crosses below 70 after exceeding it), reducing premature exits on weak 
484cd80	0.525302								17.12	0.370	27	discard	Replace ADX trend filter with RSI(14) overbought confirmation on entries; only buy when EMA crosses up AND RSI < 70 to avoid peak entries while staying less restrictive than prior RSI experiment.
2bc036c	1.367002	4.119538	1.800656	7.270328	0.995124		1.146	42.716	13.01	0.467	30	keep	Add ATR-based trailing stop loss on exits while keeping ADX-filtered EMA entries; lock in gains dynamically without whipsaws from tight fixed stops.
f123246	0.000000	0.000000	0.000000	0.000000	0.000000		0.000	0.000	0.00	0.000	0	crash	Add RSI(14) confirmation to entries to avoid overbought peaks while keeping ADX filter; only buy when fast EMA crosses above slow EMA AND ADX > 25 AND RSI < 70.
5bd8699	1.392998	4.398115	1.875535	8.481402	0.996502		1.247	45.006	11.72	0.517	29	keep	Replace EMA crossdown exit with RSI(14) < 30 (oversold) exit signal to reduce premature exits on minor pullbacks; keep ADX-filtered EMA entries and ATR trailing stop.
7aabb49	1.367002	4.119538	1.800656	7.270328	0.995124		1.146	42.716	13.01	0.467	30	discard	Replace RSI oversold exit (< 30) with EMA crossdown to reduce whipsaw exits during strong trends; keep ADX filter and ATR trailing stop.
5dcf21d	0.000000	0.000000	0.000000	0.000000	0.000000		0.000	0.000	0.00	0.000	0	crash	Replace RSI oversold exit (< 30) with EMA crossdown to reduce noise; add volume confirmation to entries to filter false signals in low-conviction moves.
3c11dec	1.367002	4.119538	1.800656	7.270328	0.995124		1.146	42.716	13.01	0.467	30	discard	Replace RSI oversold exit with EMA crossdown to reduce late exits on strong trends; keep ADX filter and ATR trailing stop.
fbd7e7b	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	crash	Add volatility-scaled position sizing: scale trade size inversely to recent volatility (ATR) to reduce drawdown during choppy periods while keeping position-sizing normalized during calm trends.
100a620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000	0.000	0.00	0.000	0	crash	Add volume confirmation to entries: only buy on EMA cross when volume is above 20-period average, filtering out false signals in low-conviction moves and improving signal quality.
